Id,Year
ALGOL,1958
AMPL,1985
AWK,1977
ActionScript,1998
AmbientTalk,2006
BASIC,1964
BCPL,1967
C*,1987
COBOL,1959
COMIT,1957
COMTRAN,1957
COWSEL,1964
Caml,1985
Cilk,1994
Clojure,2007
CoffeeScript,2009
DBase,1979
DRAKON,1996
FLOW-MATIC,1955
Fortran,1957
HyperTalk,1987
JOSS,1963
JOVIAL,1960
JavaScript,1995
MATH-MATIC,1957
MATLAB,1970
MUMPS,1966
Modula,1975
Modula-2,1978
Modula-3,1988
NewtonScript,1993
OCaml,1996
ObjectLOGO,1967
Objective-C,1984
PHP,1995
PL/I,1964
PL360,1966
Perl,1987
PostScript,1982
Prolog,1972
REBOL,1997
REXX,1979
Rc,1989
SETL,1969
SISAL,1983
SNOBOL,1962
SP/k,1974
SQL,1974
Sather,1990
Sed,1974
Simula,1962
Smalltalk,1972
Speedcoding,1953
Squeak,1996
Starlogo,2001
Strongtalk,2002
TELCOMP,1965
Tcl,1988
TypeScript,2012
Verilog,1984
ZetaLisp,1976
